AVERAGE	BEST
0.002682	0.043354
0.015812	0.469600
0.034555	0.469600
0.065632	0.469600
0.104984	0.469600
0.127502	0.509759
0.146770	0.509759
0.219467	0.509759
0.243108	0.516808
0.236081	0.516808
0.205308	0.559130
0.227163	0.559130
0.219333	0.559130
0.205828	0.574163
0.222697	0.563316
0.238465	0.563488
0.214178	0.563488
0.240186	0.563488
0.233952	0.563488
0.263170	0.571991
0.262127	0.571991
0.246774	0.571991
0.250155	0.571991
0.199416	0.571991
0.248736	0.571991
0.221553	0.571991
0.233511	0.573915
0.280133	0.576101
0.218616	0.576101
0.246526	0.576101
0.241359	0.576101
0.215047	0.576101
0.233934	0.577449
0.227059	0.577449
0.227840	0.577449
0.237572	0.583815
0.249278	0.583815
0.247158	0.583815
0.251664	0.583815
0.222170	0.583815
0.215625	0.584427
0.267788	0.584427
0.188195	0.583815
0.233825	0.583815
0.223349	0.583815
0.312129	0.583815
0.240481	0.585204
0.320001	0.585204
0.256845	0.585204
0.256812	0.585204
0.248259	0.585315
0.260523	0.585204
0.212878	0.585204
0.227371	0.585204
0.216340	0.585204
0.233749	0.585204
0.195291	0.585204
0.214805	0.585204
0.252657	0.585204
0.217036	0.588022
0.205632	0.588022
0.227862	0.588022
0.236250	0.588022
0.209477	0.588022
0.215765	0.588022
0.255160	0.588022
0.179832	0.588022
0.195685	0.588022
0.235310	0.588022
0.212632	0.588022
0.228343	0.588022
0.239658	0.588022
0.203974	0.588022
0.187630	0.588022
0.250783	0.588022
0.222346	0.588022
0.194810	0.588022
0.236682	0.588022
0.263695	0.588022
0.207701	0.588022
0.259676	0.588022
0.263472	0.588022
0.218592	0.588022
0.240156	0.588022
0.217068	0.588022
0.266959	0.588173
0.257212	0.588173
0.257858	0.588173
0.203083	0.588173
0.250618	0.588537
0.269515	0.588537
0.247419	0.588537
0.240833	0.588537
0.294840	0.588537
0.237973	0.588537
0.251896	0.594989
0.259128	0.594989
0.208933	0.594989
0.220301	0.594989
0.257194	0.594989
0.261751	0.594989
0.260291	0.594989
0.257664	0.594989
0.282958	0.594989
0.246721	0.594989
0.256162	0.594989
0.234979	0.594989
0.229995	0.594989
0.207786	0.594989
0.217500	0.594989
0.218683	0.596396
0.260149	0.596396
0.254282	0.596396
0.301544	0.596396
0.259852	0.596396
0.263957	0.602116
0.169980	0.602116
0.216533	0.602116
0.194963	0.602116
0.185629	0.602116
0.285539	0.602116
0.222507	0.602116
0.253141	0.602116
0.245302	0.602116
0.246155	0.602116
0.292874	0.608356
0.276575	0.608356
0.249729	0.608356
0.182965	0.608356
0.220039	0.608356
0.223725	0.608356
0.247199	0.608356
0.282882	0.609182
0.232438	0.609182
0.267062	0.609182
0.207337	0.610098
0.275836	0.610098
0.235873	0.613512
0.270112	0.613512
0.280703	0.613512
0.207183	0.613512
0.215319	0.613512
0.230356	0.613512
0.260950	0.613512
0.310212	0.613512
0.301086	0.615395
0.314819	0.615395
0.280536	0.616911
0.241695	0.616911
0.273735	0.616911
0.260975	0.616911
0.255289	0.616911
0.247577	0.616911
0.227006	0.616911
0.247410	0.616911
0.279794	0.616911
0.268369	0.616911
0.232066	0.616911
0.231776	0.616911
0.245199	0.616911
0.246928	0.616911
0.287906	0.616911
0.266919	0.616911
0.212766	0.616911
0.284901	0.616911
0.269099	0.616911
0.223578	0.616911
0.227337	0.616911
0.270960	0.616911
0.285763	0.616911
0.220438	0.616911
0.246123	0.616911
0.237507	0.616911
0.230539	0.616911
0.269751	0.616911
0.241251	0.616911
0.281605	0.616911
0.285746	0.616911
0.302528	0.616911
0.271041	0.617363
0.270421	0.617363
0.260342	0.617363
0.199797	0.617363
0.254009	0.617363
0.225489	0.617363
0.238719	0.617363
0.252540	0.617363
0.270957	0.618980
0.260773	0.618980
0.245838	0.618980
0.243068	0.618980
0.292779	0.618980
0.232419	0.618980
0.294264	0.618980
0.267232	0.618980
0.278527	0.618980
0.225712	0.618980
0.267824	0.618980
0.267886	0.618980
0.213169	0.618980
0.253524	0.618980
0.259629	0.618980
0.254327	0.620345
0.251122	0.620345
0.286704	0.620345
0.200697	0.620345
0.309739	0.621219
0.220698	0.621588
0.252442	0.621588
0.267404	0.621219
0.244196	0.621918
0.240618	0.622837
0.261925	0.622837
0.250615	0.623742
0.301424	0.623742
0.237749	0.623742
0.220812	0.623742
0.301830	0.623742
0.248759	0.623742
0.238803	0.623742
0.259059	0.623742
0.236785	0.623742
0.206488	0.623742
0.261894	0.623742
0.264891	0.623742
0.242806	0.623742
0.284578	0.623742
0.192772	0.625562
0.224570	0.625562
0.231503	0.625562
0.264093	0.627061
0.230370	0.632069
0.274254	0.632069
0.328593	0.632069
0.262926	0.632069
0.254186	0.632069
0.211996	0.632069
0.261254	0.632069
0.248948	0.632069
0.178892	0.632069
0.220843	0.632069
0.278756	0.632069
0.240131	0.632069
0.280466	0.632069
0.213861	0.632069
0.258584	0.632069
0.240036	0.632069
0.209514	0.632069
0.262389	0.632069
0.274529	0.632069
0.247404	0.632069
0.260143	0.632069
0.220686	0.632069
0.230304	0.632069
0.256130	0.632069
0.260216	0.632069
0.238319	0.632775
0.243514	0.632775
0.237647	0.632775
0.237826	0.632775
0.271935	0.632775
0.309621	0.632775
0.280988	0.632775
0.242695	0.632775
0.299526	0.632775
0.237573	0.632775
0.304461	0.632775
0.274521	0.632775
0.268441	0.632775
0.220941	0.632775
0.225020	0.632775
0.226984	0.632775
0.267402	0.632775
0.224697	0.632775
0.254556	0.635519
0.287676	0.635519
0.292794	0.635519
0.244872	0.635519
0.254198	0.635519
0.235677	0.635519
0.208592	0.635519
0.305469	0.635757
0.286245	0.635757
0.254960	0.636255
0.290366	0.636255
0.244984	0.636255
0.301544	0.636255
0.204124	0.636255
0.249078	0.636255
0.282810	0.636255
0.276698	0.636386
0.244038	0.636386
0.292447	0.636386
0.289796	0.638561
0.297027	0.638561
0.286525	0.638561
0.237351	0.638561
0.288545	0.638561
0.266871	0.638561
0.267016	0.638697
0.244469	0.638697
0.275430	0.638697
0.271301	0.638697
0.226452	0.642026
0.242901	0.642617
0.248235	0.642617
0.271871	0.642617
0.207827	0.642617
0.245916	0.642617
0.214804	0.642617
0.238900	0.642617
0.279212	0.642617
0.267344	0.642617
0.299179	0.642617
0.291090	0.642617
0.259056	0.642617
0.230308	0.642617
0.237448	0.642617
0.248412	0.642848
0.224019	0.642848
0.235111	0.642848
0.255604	0.642848
0.261542	0.642848
0.251734	0.642848
0.262547	0.642848
0.246188	0.642848
0.294889	0.642848
0.236980	0.642848
0.248593	0.642848
0.254468	0.642848
0.256090	0.642848
0.286145	0.642848
0.228859	0.642848
0.292427	0.642848
0.270480	0.642848
0.289188	0.642848
0.255512	0.642848
0.294585	0.642848
0.263897	0.642848
0.276129	0.643815
0.278589	0.643815
0.228927	0.643815
0.252221	0.643815
0.258707	0.643815
0.258160	0.643815
